prompt,response
"I received my provisional from an autonomous college, affiliated to JNTUH. Am I eligible to apply for transcripts?","No, colleges which are affiliated and non-autonomous, are only eligible for applying transcripts in online student service."
"When I tried to apply for a online service in online student service portal, I am getting a response -invalid hall ticket number or data not available. Why?","The Candidates who passed their degree during or after the academic year mentioned below can only avail this service. B.Tech?2000 to till date, B.Pharmacy- 2009 batch to till date, M.Tech ? 2009 batch to till date, M.Pharmacy ?2009 batch to till date, MBA ? 2005 batch to till date, MCA - 2005 batch to till date."
Am I eligible to apply in online student service?,"The Candidates who passed their degree during or after the academic year mentioned below can only avail this service. B.Tech?2000 to till date, B.Pharmacy- 2009 batch to till date, M.Tech ? 2009 batch to till date, M.Pharmacy ?2009 batch to till date, MBA ? 2005 batch to till date, MCA - 2005 batch to till date."
 How to apply for online student service?,Open the JNTUH website (jntuh.ac.in) and click on the online student service link at the home page. It will redirect to online student service portal. (OR) by using the url:http://studentservices.jntuh.ac.in/oss.
 How to apply online transcript for Original Degree certificate?,"At present, there is no transcript service for Original Degree certificate."
"For any clarification or information regarding transcripts, whom should I contact?",You should contact JNTUH Exam Branch at Email:support.oss@jntuh.ac.in or at helpline no. 9491283135 during 10:30 AM to 5:00 PM on all working days.
What are the services offered under Student Services?,"Manual Services at counters of Service Section, Examination Branch. 2. Tatkal Services at counters of Service Section, Examination Branch. 3. Online Student Services."
"What are the Manual Services offered at counters of Service Section, Examination Branch?","Issuing of Duplicate Marks Memos, Duplicate CMM, Duplicate Degree Certificate, Name & Father Name correction in PC & OD Certificates, Name corrections in marks memo & CMM, Issuing of Transcripts, Issuing of PC & CMM with Undertaking and Grace Marks."
"What are the Tatkal Services offered at counters of Service Section, Examination Branch?","Tatkal PC & CMM, Tatkal PC & CMM with undertaking for B.Tech. Only, Tatkal CMM, Duplicate CMM, Tatkal Name and Gender Correction in PC.CMM/Marks Memo"
What are the Online Services offered?,"Issuing of Original Degree Certificate, Migration Certificate, Medium of Instruction Certificate and issuing Transcripts along with WES Application"
Where can we have the application forms for availing the Student Services?,Under: Application Forms of https://studentservices.jntuh.ac.in/oss/login page.
 Who are eligible to opt the various services offered?,"Manual Services - The Candidates who passed their degree before the academic year Mentioned below can only avail this service. Affiliated colleges degree of B.Tech. - Before 2000 admitted batch, B.Pharmacy - before 2009 batch, M.Tech. ? before 2009 batch, M.Pharmacy ? before 2009 batch, MBA ? before 2005 batch, MCA ? before 2005 batch. 2. Online Services : The Candidates who passed their degree during or after the academic year mentioned below can only avail this service. B.Tech. - 2000 to till date, B.Pharmacy- 2009 batch to till date, M.Tech. ? 2009 batch to till date, M.Pharmacy ?2009 batch to till date, MBA ? 2005 batch to till date, MCA - 2005 batch to till date. 3. Tatkal Services : As specified in the application form."
Is this service offered for all colleges under JNTUH?,The students of Autonomous colleges under JNTUH can avail manual services. 2. Only students of colleges affiliated and non-autonomous to JNTUH are eligible to avail online Services
What are the payment modes for applying?,"The payments can be made only in Online-payment mode for online transactions The payments for other services can be made in one of the following modes : Smart-card swiping/ T-Wallet/SBI Challan / DD. If Demand Draft is taken, it should be drawn in favor of ?THE REGISTRAR JNTUH? , payable at Hyderabad. The student Hall-Ticket number should be written on the Backside of DD. Student should write his/her Hall Ticket Number on the back- side of the Demand Draft, if the mode of payment is DD. If the student desires to choose challan option, the Challan should be taken only at the campus SBI (JNTU Hyderabad) Branch. The T-Wallet/ Swiping facility using the smart card (debit/credit card) is available at the student service counter.Original Degree (OD) certificate will be sent only by speed-post to the postal address, which was mentioned while applying for the OD. (OD Application service for 'Passed out candidates after 2002' will be available at https://epayments.jntuh.ac.in/onlineconvocationservices)."
 After applying manually/ Tatkal (by hand) within how many days can I collect my certificates from service section counter of exam branch JNTUH?,"The candidates are given acknowledgement slip mentioning the date to collect their certificates from the counters of Service Section at exam branch, JNTUH. Certificates under TATKAL scheme will be issued within in two working days. The transcripts, migration certificate and Medium of Instruction certificate can be either delivered by post or collected by hand at student service counter"
I have applied for transcripts and received SMS/email to collect them from University counter. What identification proof should I bring for receiving my certificates?,"You should confirm your registered mobile number (which is used during registration) with dispatch clerk at the exam branch Student Service Counters .No, other proof is required."
What are different stages until the consignment reaches my residential address?,"PAYMENT APPROVED - After payment approved, PRINTING - Printing of applied certificates INPROCESS - checking of applied certificates with address slip DISPATCHEDBYPOST ? Dispatched the applied certificates by post DISPATCHEDBYHAND ? Dispatched the applied certificates to service counter DELIVERED - the applied certificates received by the candidate."
What are the modes of dispatching the certificates?,"Local consignments are sent by Speed post or DTDC courier, International consignments are sent by Blue Dart Services"
"For any clarification or information regarding transcripts, whom should I contact?",You should contact JNTUH Exam Branch at Email:support.oss@jntuh.ac.in or at helpline no. 9491283135 during 10:30 AM to 5:00 PM on all working days.
What to do if we get a message saying transaction failed / session expired?,"If your amount were deducted from your account in any transaction and got failed / session expired message, You are advised not to pay once again. The application status will be updated in 'Track Application' menu within 2 working days of your transaction."
What should we do if amount is deducted many times (multiple payments)?,"Users should not pay fee multiple times for one request. Because every transaction will take as request and service will be provided for every transaction. If your amount were deducted from your account in any transaction and were failed / session expired message, You are advised not to pay once again. The application status will be updated in 'Track Application' menu within 2 working days of your transaction."
What is the procedure for refund?,"No refund will be entertained. Every transaction will be serviced by request transcripts / certificates. Because, the process of your requested transcripts/ certificates printing is started with in few time, printed transcripts / certificates can?t be used for another application, Stationary will be waste. You are advised not to pay once again if you already got deducted money. The application status will be updated in 'Track Application' menu within 2 working days of your transaction"
I have forgotten my online student service portal password. How can I get my password?,"Click on forgot password link available at the home page of online student service portal. It will ask to enter your hall ticket number, registered mobile number & email-id for verification. Once the verification is successful, you will receive your password to your registered email-id."
After applying (preferred mode: by hand) within how many days can I collect my consignment from JNTUH exam branch service counter?,"The candidates are informed to collect their transcripts from the service counters at exam branch JNTUH, within seven days after receiving the sms/email. If not collected within seven days, the candidate has to forego the claim of the transcripts. Under any circumstances, the transcripts will not be issued after seven days of receiving the sms/email."
How long it takes to get my Certificates after applying in online student service?,The printing and dispatching process will be completed within 2 working days after the payment is approved.
Can I apply for online student service in tatkal service?,There is no tatkal service to online student service.
I have lost my Acknowledgement receipt. Where can I get it ?,"It is also sent to your registered email id, Hence you can login to your mail and can take the printout whenever you require."
I got an Acknowledgement. What should I do after that?,"You keep that printout for further reference. In case if you have not received the applied certificates, then you can contact, Exam Branch, JNTUH with the printout of acknowledgement, at the student service counter no 1."
"What are the other certificates, in addition to transcript, that I can obtain using this portal service?",You can also apply for migration and medium certificate an additional to transcripts.
"As I am trying to track using the consignment number, it shows the consignment number given is not valid.What should I do?",Consignment number received by you is correct. It will be trackable once postal/courier service picks and updates their database. You are advised to try again at the respective the postal / courier portals on the following day.
I have applied for transcripts and received SMS/email to collect them from University counter. What identification proof should I bring for receiving my certificates?,You should confirm your registered mobile number (which is used during registration) with dispatch clerk at the exam branch student service .No other proof is required .
What are different stages until the consignment reaches my residential address?,PAYMENT APPROVED-After payment approved PRINTING- Printing of applied certificates INPROCESS-checking of applied certificates with address slip DISPATCHEDBYPOST ? Dispatched the applied certificates by post DISPATCHEDBYHAND ? Dispatched the applied certificates to service counter DELIVERED - the applied certificates received by the candidate.
How long does it take to get my Certificates after applying in online student service?,"The printing and dispatching process will be completed within 2 working days after the payment is approved, time to time you will receive message / mail once it is ready to dispatch from JNTUH"
Can I apply for online student service in tatkal service?,There is no tatkal service to online student service.
I have lost my Acknowledgement receipt. Where can I get it?,"It is also sent to your registered email id, hence you can login to your mail and can take the printout whenever you require. The receipt should be preserved for future reference"
"As I am trying to track using the consignment number, it shows the consignment number given is not valid. What should I do?",Consignment number received by you is correct. It will be trackable once postal/courier service picks and updates their database. You are advised to try again at the respective the postal / courier portals on the following day.
